SampleInterval,Lag,Autocorrelation,AvgQueueLength
20,1,0.919597,1.3400
20,2,0.858605,1.3400
20,3,0.799319,1.3400
20,4,0.718698,1.3400
20,5,0.748736,1.3400
50,1,0.843887,2.1200
50,2,0.695742,2.1200
50,3,0.592379,2.1200
50,4,0.478773,2.1200
50,5,0.416890,2.1200
100,1,0.768232,2.5800
100,2,0.606143,2.5800
100,3,0.520207,2.5800
100,4,0.512847,2.5800
100,5,0.468684,2.5800
150,1,0.839788,3.4900
150,2,0.743116,3.4900
150,3,0.696474,3.4900
150,4,0.607999,3.4900
150,5,0.390582,3.4900
200,1,0.872201,4.3000
200,2,0.807824,4.3000
200,3,0.764143,4.3000
200,4,0.655253,4.3000
200,5,0.529041,4.3000
