Time,PrepQueue,TheatreQueue,RecoveryQueue,PrepUtil,TheatreUtil,RecoveryUtil
0,0,0,0,0.0,0.0,0.0
10,0,0,0,0.3333333333333333,1.0,0.3333333333333333
20,0,0,0,0.0,0.0,0.0
30,0,0,0,0.3333333333333333,0.0,0.0
40,0,0,0,0.3333333333333333,0.0,0.0
50,0,0,0,0.3333333333333333,0.0,0.0
60,0,0,0,0.6666666666666666,0.0,0.0
70,0,0,0,0.6666666666666666,1.0,0.0
80,0,0,0,0.3333333333333333,1.0,0.3333333333333333
90,0,0,0,0.3333333333333333,1.0,0.3333333333333333
100,0,0,0,0.3333333333333333,1.0,0.3333333333333333
110,0,0,0,0.0,0.0,0.0
120,0,0,0,0.6666666666666666,0.0,0.0
130,0,0,0,0.6666666666666666,1.0,0.3333333333333333
140,0,0,0,0.6666666666666666,1.0,0.3333333333333333
150,0,2,0,1.0,1.0,0.3333333333333333
160,0,2,0,1.0,1.0,0.3333333333333333
170,0,1,0,0.6666666666666666,1.0,0.0
180,0,1,0,0.6666666666666666,1.0,0.0
190,0,1,0,1.0,1.0,0.0
200,0,2,0,1.0,1.0,0.3333333333333333
210,0,1,0,0.6666666666666666,1.0,0.0
220,0,2,0,1.0,1.0,0.0
230,2,2,0,1.0,1.0,0.0
240,2,2,0,1.0,1.0,0.0
250,2,2,0,1.0,1.0,0.0
260,2,2,0,1.0,1.0,0.0
270,2,2,0,1.0,1.0,0.3333333333333333
280,3,2,0,1.0,1.0,0.3333333333333333
290,3,2,0,1.0,1.0,0.3333333333333333
300,3,2,0,1.0,1.0,0.3333333333333333
310,2,1,0,1.0,1.0,0.0
320,3,1,0,1.0,1.0,0.0
330,3,1,0,1.0,1.0,0.3333333333333333
340,3,2,0,1.0,1.0,0.3333333333333333
350,2,1,0,1.0,1.0,0.0
360,2,1,0,1.0,1.0,0.0
370,2,1,0,1.0,1.0,0.3333333333333333
380,2,1,0,1.0,1.0,0.3333333333333333
390,2,1,0,1.0,1.0,0.3333333333333333
400,2,1,0,1.0,1.0,0.3333333333333333
410,2,0,0,1.0,1.0,0.0
420,2,1,0,1.0,1.0,0.0
430,2,1,0,1.0,1.0,0.0
440,4,2,0,1.0,1.0,0.0
450,4,1,0,1.0,1.0,0.0
460,6,2,0,1.0,1.0,0.3333333333333333
470,6,2,0,1.0,1.0,0.3333333333333333
480,7,2,0,1.0,1.0,0.3333333333333333
490,9,2,0,1.0,1.0,0.3333333333333333
